"","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct65up","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","PctKidsBornNeverMar","NumImmig","PctImmigRec10","PctRecImmig10","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccMedVal","RentMedian","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","murders","rapes","robberies","assaults","burglaries","larcenies","autoTheft","arsons","ViolentCrimesPerPop","nonViolPerPop"
"1",16656,2.4,1.7,97.35,0.5,0.7,12.55,17.57,20580,68.15,0.24,38.95,39.48,11.71,18.33,26501,10810,10909,9984,4941,3541,717,4391,17.23,11.05,33.68,10.81,9.86,54.74,31.22,27.43,26.76,22.71,10.98,28.15,14.47,2.98,64.02,62.36,65.38,67.43,59.59,70.27,3.84,2.03530259365994,15.34,0.31,0.56,3.93,2.56,2.37,2.51,2.2,58.18,1.21,45.66,3,669,91.19,54.89,2.54,57.85,1939,7,0.87,49600,250,333,28.7,20.6,14.5,2.04,88.71,56.7,90.17,96.24,5.2,3217.7,3.31,0,4,4,282,307,1228,452,690.8601138,950,16077.4502509606
"2",11245,2.76,0.53,89.16,1.17,0.52,24.46,12.65,17390,69.33,0.55,42.82,32.16,11.21,14.43,24018,8483,9009,887,4425,3352,784,1328,29.99,12.15,23.06,25.28,9.08,52.44,6.89,36.54,10.94,27.8,7.51,50.66,11.64,2.98,58.59,55.2,66.51,79.17,61.22,68.94,4.7,1.74299688750556,69.9,1.22,0.39,5.23,3.11,2.35,2.55,2.12,58.13,2.94,55.64,2,333,92.45,53.57,3.9,42.64,1958,7.45,0.82,43200,283,332,32.2,23.2,12.9,1.74,73.75,42.22,60.34,89.02,11.5,974.2,0.38,0,789.2957267966,265,83,867,43,624,122,10113.7903672441,2114
"3",13132,2.53,0.06,99.21,0.47,0.59,14,14.57,25797,73.95,2.53,56.06,34.35,6.6,12.89,32055,11907,11961,0,9097,5646,2,1810,6.84,16.28,25.41,15.31,3.67,65.62,27.69,20.11,22.67,21.74,6.08,27.56,8.37,3.04,79.99,81.44,87.19,85.51,81.24,85.52,0.87,0.906183368869936,26.05,0.24,0.42,3.61,2.46,2.43,2.62,1.88,80.28,0.94,38.26,3,180,96.65,74.48,0,40.56,1956,1.5,0.65,53200,232,293,24.9,15.8,11.5,0.91,83.77,61.36,80.63,93.19,8.9,1481.2,0.08,0,1379.8169826895,2,546,742,675,215,3,14680.2998986407,534
"4",30954,2.69,2.52,94.39,2.03,1.55,12.07,10.45,37856,82.29,0.89,51.08,23.45,4.87,16.45,43154,16459,16637,13140,12365,14634,1854,6914,6.22,4.4,14.64,20.28,4.17,68.12,21.56,22.97,11.78,27,8.23,28.8,11.14,3.07,76.68,76.9,84.85,81.49,73.51,76.64,2.71,2.6232473993668,35.22,0.92,0.69,3.71,2.75,2.62,2.79,2.08,80.79,1.43,42.87,3,624,94.85,75.86,2.08,25.96,1969,0.35,0.35,87800,473,512,26.9,21.2,12,2.62,77.05,55.61,81.72,92.71,17.9,1724.8,3.35,0,2072.1518069065,182,315,308,314,135,154,8299.90245818473,1614
"5",50889,2.77,1.61,95.66,2.04,1.02,13.13,4.77,51314,92.25,1.19,58.68,11.08,2.41,7.95,59421,21908,22294,16470,10181,14316,592,9794,3.36,1.57,5.56,41.39,3.24,78.05,19.44,22.51,7.08,39.55,7.99,27.64,10.17,3.14,85.61,86.12,93.55,87.45,66.82,73.32,1.31,2.61353141150347,36.92,0.96,0.56,3.3,2.51,2.72,2.95,2.08,79.9,1.21,40.32,3,1255,93.6,73.63,0.08,14.5,1979,0.29,0.14,127400,578,611,22.9,21.7,11.5,2.61,63.24,43.01,76.47,85.75,34.1,1491.7,2.64,0,2077.0429166512,50,425,370,265,4,145,5014.92054599462,690
"6",20714,2.36,1.46,93.15,0.56,11.61,11.35,21.15,22166,65,0.32,47.13,43.79,7.08,21.6,29893,11991,12228,15778,0,15243,1234,7427,13.5,12.54,31.33,12.33,8.97,52.65,23.6,25.83,19.07,22.91,9.34,29.7,11.8,2.96,65.74,62.69,67.57,70.4,59.49,69.23,3.28,6.03456599401371,25.28,1.53,2.49,4.07,2.62,2.33,2.45,2.21,53.56,1.79,36.94,3,713,92.49,50.94,2.1,59.05,1939,6.72,0.66,71000,240,337,24.7,18.6,14.5,6.03,81.86,61.42,85.56,93.76,6.2,3353.7,2.6,0,78,206,339,92,734,151,-0.117984,1320,4716.04719513373
"7",84474,2.76,4.8,78.81,1.14,27.99,16.42,11.57,23534,76.93,2.24,37.05,27.01,6.25,14.14,27832,11353,12578,6863,11822,7491,1247,6800,18.5,14.84,29.08,17.61,7.71,61.16,12.63,25.81,14.72,23.56,10.22,27.62,13.83,3.16,74.97,70.45,83.76,76.93,65.56,71.83,1.9,5.37680232971092,29.72,1.6,3.89,5.71,4,2.59,2.69,2.45,61.39,6.6,52.54,2,3958,88.57,59.21,1.64,34.69,1967,7.89,0.47,48300,302,365,25.4,20.2,13,5.38,69.08,45.39,73.13,87.74,49.6,1702.6,0.68,8,104,261,319,841,771,157,1653.1390636,1355,4051.11521130762
"8",71166,2.87,42.2,51.25,1.36,8.01,16.56,7.82,21962,72.63,0.11,20.23,23.85,22.07,16.66,25834,9847,10927,8937,5787,5723,1528,7537,26.67,12.04,37.61,7.95,14.4,51.07,26.9,23.36,24.49,14.34,15.75,42.09,19.81,3.34,46.61,41.73,48.83,52.16,53.63,59.61,12.73,2.30587640165247,32.78,0.76,1.35,9.52,6.52,2.76,2.91,2.61,52.36,6.93,55.71,2,1816,93.17,49.73,12.83,37.78,1954,8.97,0.46,36300,362,436,30.5,17.2,14,2.31,66.2,51.8,86.51,92.67,20.7,3434.7,0.9,19,1726.8993689388,272,89,144,452,611,141,2960.54206916055,1684
"9",63891,2.64,2.72,93.52,1.49,3.5,13.2,9.04,31103,84.33,0.45,41.08,21.77,4.69,13.42,35161,13271,13449,11422,11847,7932,188,10078,7.07,6.7,21.43,13.17,5.13,70.23,29.39,17,23.93,18.35,9.7,28.4,12.84,3.15,76.5,75.93,83.36,74.53,68.58,74.84,2.5,3.49031945031382,26.68,0.93,0.95,4.93,3.49,2.63,2.85,2.18,73.05,2.55,48.64,3,888,96.46,67.43,0.79,19.26,1962,1.71,0.09,57700,397,429,23,17.8,12.7,3.49,81.96,53.39,85.47,94.03,25.2,2539,0.59,1,2131.3150726577,30,206,710,530,282,20,3706.80545406661,1288
"10",15440,2.86,0.31,98.63,0.64,0.49,13.92,8.39,36091,84.9,0.81,47.33,22.69,3.41,12.51,41312,14482,14580,6426,4444,7238,79,7344,5,7.84,18.63,16.75,5.18,69.13,24.87,21.76,18.97,19.55,8.72,29.13,10.57,3.22,79.12,79.48,92.03,76.62,75.41,80.26,1.42,1.02331606217617,32.91,0.34,0.61,4.2,3.17,2.76,2.98,2.17,78.24,1.63,37.23,3,144,97.4,72.34,0.69,20.83,1968,1.44,0.22,83700,408,442,27.2,20.9,11.3,1.02,76.9,51.79,80.72,91.57,9.4,1641.9,1.69,0,702.0198798996,131,111,70,837,402,3,6114.11839313212,722
