communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctOther,agePct65up,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctNevMarr,TotalPctDiv,PctFam2Par,PctWorkMom,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec10,PctRecentImmig,PctRecImmig10,PctNotSpeakEnglWell,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumHomeless,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,raw_y.murdPerPop.na_col.,group,y,y1
Gloversvillecity,NY,35,29443,1,-0.173859106,-0.898360356,-0.550025232,0.849130279,-0.608046765,1.151574571,-1.57550333,-0.990314684,-1.27882315,-0.940509081,-0.352653144,1.562797121,1.103404923,0.489866337,-0.925780617,-0.761952244,0.655267116,0.234803392,0.994653272,-0.974263352,1.420174508,-0.880012754,1.658897365,0.444716701,2.037421629,-0.598056122,-0.311370385,0.676783418,-0.970933319,0.233196144,0.237366413,-0.104890637,0.017669327,-1.249665218,-0.535676518,-0.641088338,-0.457924361,-0.434407059,-0.759285008,-0.735627988,-0.471115898,-0.521176087,-0.537178843,-0.013347053,0.726979163,-0.179065532,-0.283366572,-0.562164896,-0.06692407,1.628469841,-2.167614885,0.625276958,1.010419953,-0.804230746,-0.71235002,-1.046620938,-1.005518982,-1.006992696,0.805556768,-0.240672844,1.00960377,-0.102794725,-0.651765434,1.684947761,0.504680391,1.215608362,1.145323409,-0.195851361,0.140651704,0.047930172,-0.3441521,0,1,1.989291621,7.310353427
NewIberiacity,LA,NA,NA,1,-0.10023181,0.42581951,1.714382961,-1.174508527,-0.428622917,-0.138134529,-1.57550333,-1.143967856,-1.114394586,-0.461609847,-1.413399435,0.228727081,1.665154448,-0.725759313,-1.267283404,-1.091123415,2.004693623,2.073608793,1.82511416,-1.048396563,2.590510294,-1.493832164,-0.411942814,-0.784115489,1.227791035,-1.138145702,-0.072669148,0.391656473,-0.931165741,-0.510725797,1.282385067,-0.097610427,-0.372390505,1.679143122,-0.55964849,-0.374102769,-0.186469076,0.731564051,0.611319312,0.232428585,1.100135873,-0.327034528,0.624768942,0.415113219,-1.193457459,-0.075748684,-0.570911488,-0.115797201,0.686148751,1.293943401,-0.083285506,1.427619303,1.334157003,-0.838336581,-0.562657565,-1.372159337,-0.696904221,-1.249407984,0.290541987,-0.647209035,0.190319249,-0.100429913,-0.610923511,1.714299542,0.837244195,1.260821369,1.178678134,-0.150717506,0.07497853,-0.56379454,-0.3441521,5.91,1,2.124328923,8.367280514
Selmacity,AL,NA,NA,1,-0.139408791,0.022808246,3.5133056,-2.592827063,-0.636283961,0.383105731,-1.57550333,-1.335775023,-1.768284919,-0.229416279,-1.566496838,1.19565523,2.888965914,-0.252167273,-1.352816202,-1.074585346,2.835109934,1.038827222,1.516399351,-0.593234588,1.80044134,-1.843351063,0.684020932,0.644514599,1.287070347,-0.290967414,0.453219515,0.82266232,-2.298782467,-1.114400159,3.287514608,-0.108076799,3.578771128,2.390043087,-0.517697539,-0.602947542,-0.469141521,0.553099085,0.063077584,-0.348405359,0.651206795,-0.870630893,0.232401067,-0.118868673,0.726979163,-0.152815649,-0.2493152,-0.672502978,0.040243985,1.012199384,0.00733751,1.712789172,3.438447828,-0.85244934,-0.600080678,-1.554917737,-0.742624926,-1.405246384,0.942894043,-1.189257288,0.463414089,-0.069687356,-0.810595132,1.529383324,0.663044107,0.949866602,0.865143715,-0.117505802,-0.392441973,-0.56379454,-0.3441521,32.2,1,2.27187427,9.697559637
Wichitacity,KS,173,79000,2,1.220628871,-0.696854725,0.136028863,-0.070761071,-0.23272737,-0.179339292,0.634384084,-0.438822777,0.157696159,0.336555543,-0.255795603,-0.254736994,-0.104802389,-0.45513529,-0.359588406,-0.172624534,0.09379245,-0.53438908,-0.409006164,-0.024082837,-0.078741357,0.474836125,0.941022577,-0.283869622,-0.14811298,-0.063335225,-0.274073316,0.8989172,-0.258996669,0.332284108,0.185115481,0.09929784,0.486153887,1.019865815,-0.259998845,-0.241731772,-0.287423521,-0.282711838,-0.576537765,-0.445211016,-0.520996907,-0.173839188,-0.082503623,0.708307521,-1.193457459,1.6972963,-0.272016114,-0.272706551,0.321198076,-0.123335994,-0.445777572,0.202355541,-0.353900473,-0.720730252,-0.555172942,-0.766772138,-0.502591223,-0.649141555,-0.32747575,-0.511696971,-0.219323012,0.136051294,-0.426000362,0.062968366,-0.437117945,0.309502778,0.009928555,0.775803886,-0.086555748,-0.389594788,0.701835977,15.31,1,7.326693793,1520.346872
Dothancity,AL,NA,NA,2,0.005370852,-0.351416499,1.284703987,-0.730444111,-0.592751617,-0.090749051,0.634384084,-0.604329617,-0.134196407,-0.200392083,-1.054089204,0.160872474,0.280843118,-0.490054519,-0.55083276,-0.406224751,0.631675743,0.330589625,0.621848547,-0.3006874,-0.42208908,0.040098837,0.019276293,-0.078062764,0.421280405,-0.241575524,-0.706719309,0.955279503,-0.551918833,0.842968227,0.469229927,-0.100145653,-0.340401471,-0.07353938,-0.631564405,-0.623139728,-0.511766731,-0.247018845,-0.21104328,-0.316136806,0.027694188,-0.173133219,-0.165018755,-0.513335403,0.726979163,-0.038393081,0.100657231,-0.134425708,0.141619173,-0.128328926,0.732321642,1.294701143,0.154829177,-0.69838505,-0.328139385,-1.166556137,-0.376859284,-1.076254207,-0.979827805,-1.561915463,-0.219323012,-0.069687356,-0.752735742,0.477415508,-0.060771231,0.175709184,-0.03810225,0.463273232,-0.731538314,-0.584050325,-0.3441521,7.11,1,2.749823754,15.63987518
Sparkscity,NV,NA,NA,2,0.004293521,-0.32262998,-0.501328282,0.304280954,0.089059007,-0.70263979,0.634384084,-0.113143246,0.995134655,-0.722827611,-0.819756445,-0.850888184,-0.793614307,-0.745401379,-0.114371112,-0.182642787,-0.526660646,-0.637431845,-0.447821183,-0.559755074,-0.507003033,1.344310702,-1.10387032,-0.968890989,-0.124713251,-0.646374275,-0.288992144,1.893546077,-0.105746001,1.934460256,-0.405973195,-0.038118264,0.233337329,0.824570462,0.057629779,0.157624794,-0.085514631,-0.270814174,-0.180585406,-0.090256939,-0.022186821,-0.577653631,0.112838324,0.392450858,-1.193457459,-0.106710085,0.424145262,-0.614468013,-0.353671029,-1.576279189,1.094813708,-0.070730859,-0.562017148,-0.243248558,-0.627524295,0.05564066,-0.113965228,0.170452991,0.050201756,0.53852152,-0.151049302,-0.054316078,0.017588295,-1.837852945,-1.384505589,-0.393605628,-1.576422187,-0.114099473,0.275801258,-0.061451068,-0.3441521,6.32,1,3.475885097,32.3264279
Scottsborocity,AL,NA,NA,2,-0.187786758,-0.552922131,-0.260708056,0.607857316,-0.620400538,0.177081913,-1.57550333,-0.686860781,-0.693763378,-0.229416279,-0.858811905,0.315968718,0.610759506,-0.153956943,-0.649562047,-0.55204599,0.335604018,0.890793953,0.890845661,-0.649830911,-0.499619211,-0.320535505,1.58599786,-0.638398224,1.67238587,-0.417668349,-1.164230013,0.172838121,0.213364569,-0.061018886,-0.556194627,-0.109378672,-1.412550058,0.461967942,-0.703480319,-0.656793372,-0.509523299,-0.648565018,-0.424248396,-0.606553778,-0.097008334,0.147376846,-0.387304419,-0.295210173,0.726979163,-0.219618235,0.013637059,0.221665375,-0.463735519,0.235441829,0.641698625,1.072365313,1.102916253,-0.767772784,-0.540203696,-1.395004137,-0.719764574,-1.110884962,-1.220168037,-1.324769352,-0.082775592,-0.102794725,-0.819671115,0.826114661,0.417114571,0.860363301,0.543604162,0.169477387,-0.854700984,-0.622536317,-0.3441521,0,1,1.664367775,5.282332571
Hyattsvillecity,MD,NA,NA,2,-0.187408236,-0.610495168,1.593356717,-1.459149543,0.045526664,-0.191700721,0.634384084,-0.085509383,0.840903212,-0.838924395,-0.342498724,-0.703062076,-0.590760312,0.033733912,0.033862464,0.033306223,-0.596255195,-0.252835609,0.08565967,0.110632353,-0.326099394,1.189929563,-1.386819246,0.16530009,-0.54746834,-0.011795862,0.74910959,0.908863489,-0.926316036,2.102147579,1.413012398,-0.074176716,0.683247612,1.477628172,1.166333466,1.331015155,-0.027185396,0.115859919,-0.393790522,-0.025719835,-0.346413377,-0.728731063,0.259344784,0.789750382,-1.193457459,-0.252262321,0.617103035,-0.87813304,-0.307328087,-0.912932517,-1.26138472,-0.459818563,-0.446396773,-0.088008204,-0.290716271,0.563937459,-0.85692669,0.187768369,-0.32747575,0.030351282,-0.833786403,-0.079146605,0.861654693,-2.332723966,-0.102691039,-0.413905346,-1.306916006,-0.221398826,1.170946325,3.108579309,-0.3441521,6.83,1,3.089013998,21.95541921
Longviewcity,WA,NA,NA,2,-0.101828394,-0.754427762,-0.633096501,0.68665279,-0.433329116,0.387226207,0.634384084,-0.623221401,-1.000951624,-0.519658239,-0.07379716,0.410480492,1.13907156,0.48113653,-0.531212584,-0.428328516,0.5054619,-0.315241791,-0.051546912,-0.79570594,0.559959245,-0.821965445,1.282043991,-0.378510732,1.067112902,-0.679660114,-0.837259048,1.200621293,-0.519910782,-1.167755216,-0.268814497,-0.091957558,-0.913108368,-0.225297552,-0.60159944,-0.463845817,-0.439976904,-0.487946549,-0.667911386,-0.671090883,-0.42123489,-0.366568809,-0.200382384,0.404490237,-1.193457459,-0.196397185,0.586835149,-0.399523697,0.631116507,-0.468561574,-0.445777572,0.100854401,0.201077327,-0.668983468,-0.662452535,-0.715371338,-0.696904221,-0.897328637,-0.018466881,-2.273353795,-1.448249794,0.033181969,-0.49066674,-0.595685591,-0.129706025,0.295662061,-0.062117652,-0.134537445,-0.092735954,-0.56379454,-0.3441521,3.01,1,2.754962886,15.72045744
Longviewcity,WA,NA,NA,2,-0.101828394,-0.754427762,-0.633096501,0.68665279,-0.433329116,0.387226207,0.634384084,-0.623221401,-1.000951624,-0.519658239,-0.07379716,0.410480492,1.13907156,0.48113653,-0.531212584,-0.428328516,0.5054619,-0.315241791,-0.051546912,-0.79570594,0.559959245,-0.821965445,1.282043991,-0.378510732,1.067112902,-0.679660114,-0.837259048,1.200621293,-0.519910782,-1.167755216,-0.268814497,-0.091957558,-0.913108368,-0.225297552,-0.60159944,-0.463845817,-0.439976904,-0.487946549,-0.667911386,-0.671090883,-0.42123489,-0.366568809,-0.200382384,0.404490237,-1.193457459,-0.196397185,0.586835149,-0.399523697,0.631116507,-0.468561574,-0.445777572,0.100854401,0.201077327,-0.668983468,-0.662452535,-0.715371338,-0.696904221,-0.897328637,-0.018466881,-2.273353795,-1.448249794,0.033181969,-0.49066674,-0.595685591,-0.129706025,0.295662061,-0.062117652,-0.134537445,-0.092735954,-0.56379454,-0.3441521,3.01,1,2.754962886,15.72045744
NiagaraFallscity,NY,63,51055,3,0.045411639,-0.955933394,0.443965461,-0.076869247,-0.592751617,1.10830957,0.634384084,-0.985795473,-1.533751155,-0.911484885,-0.579955921,1.436781423,1.330779731,1.399948736,-0.904205405,-0.747004374,0.821586292,0.329138318,0.872792163,-1.05875927,1.778289874,-1.313514993,0.614828182,0.058641062,0.926714533,-1.10915481,0.226950634,0.484488502,-1.504400837,-0.724146026,1.001536304,-0.04245213,-0.910012655,-1.568108596,-0.517697539,-0.562563171,-0.372673941,-0.407637314,-0.820200755,-0.606553778,-0.745461445,-0.332682282,-0.463083622,0.132541899,0.726979163,0.156798356,-0.377953715,-0.48335198,2.510902126,1.407354284,-1.895745835,0.625276958,-0.423272698,-0.857153593,-0.857052726,-1.006642538,-0.994088806,-1.024308073,1.526577461,-1.155379272,1.350972321,0.089937458,-0.152586381,0.962893958,1.118572679,1.430600827,1.155996921,-0.115802638,0.490546427,-0.014862762,1.853444999,4.97,1,2.381340441,10.81939591
