communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctOther,agePct65up,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctNevMarr,TotalPctDiv,PctFam2Par,PctWorkMom,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec10,PctRecentImmig,PctRecImmig10,PctNotSpeakEnglWell,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumHomeless,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,raw_y.murdPerPop.na_col.,group,y,y1
Laurelcity,MS,NA,NA,2,-0.163323589,-0.351416499,2.772825501,-1.944138741,-0.64569636,0.908466466,-1.57550333,-1.255762763,-1.861333641,-0.258440475,-1.211092153,1.723951813,1.850175125,0.241066832,-1.318742728,-0.698662328,2.182808485,0.742760685,1.277190509,-0.389966106,1.113745895,-1.876697389,0.193493754,0.652025799,0.50863939,-0.234059367,-0.122398572,0.749722869,-1.85842928,-0.936041825,2.239230271,-0.109224503,1.227061188,-0.034355917,-0.631564405,-0.674741981,-0.507279867,0.469815434,-0.241501154,-0.76789654,0.526504274,-0.400455335,0.082526642,-0.412771174,0.726979163,-0.104186058,-1.130867378,-0.135142189,0.523948451,1.484388091,-0.536400588,2.007625817,1.681018128,-0.888907302,-0.550183193,-1.514939337,-0.628323163,-1.451420724,0.359210625,-0.376184908,0.531687799,-0.096882695,-0.831016093,1.350924498,0.155348664,1.024606472,0.846465069,-0.104732069,-0.551123847,-0.622536317,-0.3441521,15.34,1,4.944871289,140.4527719
Lancastercity,OH,45,41720,2,-0.08723105,-0.696854725,-0.635244896,0.934644748,-0.624518463,0.416069541,-1.57550333,-0.853256647,-0.890057942,-0.360025161,-0.534651587,0.531649433,0.436884653,1.164243942,-0.859099946,-0.682919359,0.287241705,0.018558716,0.408817276,-0.910492848,0.626413643,-0.544079394,0.865651903,-0.594833269,0.962594116,-0.833204468,-0.926772012,0.855816616,-0.260936551,-0.147911407,-0.317799746,-0.10620964,-1.412550058,-1.444338611,-0.703480319,-0.690447015,-0.509523299,-0.467125636,-0.546079891,-0.735627988,-0.146889342,-0.271968922,-0.490027339,0.129709104,0.726979163,-0.16156561,0.391985633,-0.203207889,-0.428978312,0.639156041,-0.808269638,0.395691046,-0.423272698,-0.779533417,-0.75975263,-0.880996138,-0.85692669,-0.839610711,-0.636484618,-1.155379272,-0.424144142,-0.089788259,-0.796981158,1.415498415,0.169321933,0.709960846,0.697035899,-0.102177323,-0.229515451,-0.602280532,-0.3441521,0,1,4.541746044,93.85453128
Lancastercity,OH,45,41720,2,-0.08723105,-0.696854725,-0.635244896,0.934644748,-0.624518463,0.416069541,-1.57550333,-0.853256647,-0.890057942,-0.360025161,-0.534651587,0.531649433,0.436884653,1.164243942,-0.859099946,-0.682919359,0.287241705,0.018558716,0.408817276,-0.910492848,0.626413643,-0.544079394,0.865651903,-0.594833269,0.962594116,-0.833204468,-0.926772012,0.855816616,-0.260936551,-0.147911407,-0.317799746,-0.10620964,-1.412550058,-1.444338611,-0.703480319,-0.690447015,-0.509523299,-0.467125636,-0.546079891,-0.735627988,-0.146889342,-0.271968922,-0.490027339,0.129709104,0.726979163,-0.16156561,0.391985633,-0.203207889,-0.428978312,0.639156041,-0.808269638,0.395691046,-0.423272698,-0.779533417,-0.75975263,-0.880996138,-0.85692669,-0.839610711,-0.636484618,-1.155379272,-0.424144142,-0.089788259,-0.796981158,1.415498415,0.169321933,0.709960846,0.697035899,-0.102177323,-0.229515451,-0.602280532,-0.3441521,0,1,4.541746044,93.85453128
Lancastercity,OH,45,41720,2,-0.08723105,-0.696854725,-0.635244896,0.934644748,-0.624518463,0.416069541,-1.57550333,-0.853256647,-0.890057942,-0.360025161,-0.534651587,0.531649433,0.436884653,1.164243942,-0.859099946,-0.682919359,0.287241705,0.018558716,0.408817276,-0.910492848,0.626413643,-0.544079394,0.865651903,-0.594833269,0.962594116,-0.833204468,-0.926772012,0.855816616,-0.260936551,-0.147911407,-0.317799746,-0.10620964,-1.412550058,-1.444338611,-0.703480319,-0.690447015,-0.509523299,-0.467125636,-0.546079891,-0.735627988,-0.146889342,-0.271968922,-0.490027339,0.129709104,0.726979163,-0.16156561,0.391985633,-0.203207889,-0.428978312,0.639156041,-0.808269638,0.395691046,-0.423272698,-0.779533417,-0.75975263,-0.880996138,-0.85692669,-0.839610711,-0.636484618,-1.155379272,-0.424144142,-0.089788259,-0.796981158,1.415498415,0.169321933,0.709960846,0.697035899,-0.102177323,-0.229515451,-0.602280532,-0.3441521,0,1,4.541746044,93.85453128
Dumascity,TX,NA,NA,2,-0.192227107,0.483392547,-0.625219053,-0.400602591,1.036769893,-0.393604063,-1.57550333,-0.342511723,0.175541119,3.993604237,-1.024407055,-0.348037079,-0.590760312,-1.201533805,-0.53812503,-0.568902098,0.041891431,0.819679932,1.043397715,-0.873824808,-0.621452274,0.21671086,0.816228509,-1.019967144,0.572598647,-1.163915384,-1.208986495,-0.672596424,0.928211042,0.190512099,-0.791323824,-0.089216773,0.076487873,0.395418252,0.14153168,0.202496319,0.775963299,0.374634119,0.672235059,0.296965689,1.174957385,0.326693049,0.575933456,-0.512627204,0.726979163,-0.221469189,-0.230397771,0.546231292,1.349432121,0.837446766,0.27920656,0.656693977,1.842886653,-0.827752011,-0.565152439,-1.006642538,-1.062669864,-0.880013259,-2.524872148,-1.697427526,-0.628965273,-0.081511417,0.221797908,0.099364574,-0.069155193,0.583548968,0.636997393,-0.201812436,0.019254807,-0.608357267,-0.3441521,0,1,5.671613466,290.502873
Worcestercity,MA,27,82000,4,0.569125331,-0.149910867,-0.348076114,0.221820574,0.050232863,0.422250256,0.634384084,-0.369849245,-0.754946099,-0.418073553,-0.526059386,0.571635184,1.341925555,0.26289135,-0.244311142,-0.35120387,0.427610371,0.221741633,0.399790527,-0.158000896,0.833160659,-0.724396565,0.094646967,0.913415531,0.004765244,-0.171782636,1.40056505,-0.049295662,-1.098965523,-1.035129788,1.021130403,0.147484265,0.215794956,0.387332776,0.135538687,0.119483999,0.221835568,-0.178607275,-0.485164144,-0.283868254,-0.171829847,-1.335864665,-0.185226543,0.568792358,-1.193457459,0.625762613,-0.103650999,-1.393282916,0.106861965,0.283231321,-1.986368852,-0.077980941,-0.168907873,0.128387441,-0.305685517,0.10133026,0.457543588,0.112735065,0.187539031,-0.037404749,0.463414089,0.484861074,0.124231093,0.587778203,0.133922985,0.489432094,-0.039436439,0.091131828,0.529529263,0.234283395,1.308304633,7.22,1,5.24349573,189.3307963
Garlandcity,TX,NA,NA,7,0.621977616,0.42581951,-0.036558858,-0.23079529,0.268482856,-1.413421962,0.634384084,0.246467409,1.582743706,0.336555543,-0.351090926,-1.661508399,-0.833739273,-1.483070086,0.098727745,-0.086753794,-0.453527392,-0.444408074,-0.470388055,0.10266104,-0.411013347,1.58514528,0.418370193,-1.021469384,-0.324390932,-0.140644271,-0.603530753,0.627051974,0.371464942,0.905469866,-0.200235148,0.16286692,0.158008314,1.275491261,0.105573723,0.399931026,0.208374975,0.178322657,0.702692933,0.555114109,0.900611838,-0.002994616,0.340175934,-0.82069368,0.726979163,0.78561767,-0.357144544,0.107744888,-0.434771179,-0.370129487,1.094813708,0.001769955,-0.238280098,-0.527855873,-0.597585804,-0.127117739,-0.308278226,-0.07773409,-0.499147343,0.13198533,-0.424144142,-0.102794725,0.119693102,-0.171258843,-0.498600329,0.192318044,0.218062042,0.265706171,0.080513549,-0.19513925,0.916484996,6.06,1,5.423710162,226.7187272
Akroncity,OH,153,1000,8,0.827587615,-0.668068206,1.083471001,-0.591788509,-0.565102697,0.275973345,0.634384084,-0.864443546,-0.952515303,-0.737339709,-0.805696479,0.451677932,1.665154448,0.688469451,-0.853025372,-0.570333277,1.038626919,-0.187526814,0.405206576,-0.652222305,1.106362073,-0.943000258,0.364004461,0.07216122,0.48367968,-0.764485316,0.552678364,1.081265828,-1.405466861,-1.144888763,1.181148885,0.005974113,0.540844816,0.068889397,-0.355886731,-0.459358665,-0.386134533,-0.252967677,-0.606995639,-0.542016673,-0.42123489,-0.240200303,-0.478239463,-0.063629167,0.726979163,0.793526288,0.117682917,-0.286319691,0.706423789,0.17124699,-1.26138472,0.137104808,-0.307652323,-0.872442416,-0.789691121,-0.869573738,-0.365429107,-0.851154296,0.702553812,-0.511696971,0.053771828,0.065106932,-0.537181151,0.697553862,0.340727367,0.935103171,0.850467636,0.308285279,0.223405338,0.033751122,2.016987109,8.53,1,5.092645061,162.8199617
Springfieldcity,MA,13,67000,8,0.507125441,0.022808246,0.699624451,-0.909413676,0.37672544,0.049347145,0.634384084,-0.614257064,-0.963987063,-0.795388101,-0.886150727,0.433502591,2.175633184,0.158133664,-0.623937119,-0.63887085,0.99498288,0.337846157,0.697673237,-0.636279679,1.228195136,-0.841726231,0.085997874,0.35758679,0.455600007,-0.574433914,1.20786353,0.627051974,-1.981611779,-1.429957212,2.539673134,0.087358295,0.348910613,-0.108991084,0.051636786,-0.1542323,0.657061397,0.181297073,-0.058753911,-0.154794044,0.277099231,-1.014648631,-0.045456012,0.493015087,-1.193457459,0.305884231,0.287939776,-0.957662437,0.127137003,-0.29666206,-1.352007737,0.260356193,0.478566227,-0.146811368,-0.475336966,-0.087139339,0.960471347,-0.071962297,1.080231318,-0.003526734,0.326866669,0.403275057,-0.047078082,0.139282995,0.295081355,0.757941997,0.045951658,0.043443227,0.650756375,0.465199346,-0.194238499,13.34,1,5.547883606,256.6937156
Springfieldcity,MA,13,67000,8,0.507125441,0.022808246,0.699624451,-0.909413676,0.37672544,0.049347145,0.634384084,-0.614257064,-0.963987063,-0.795388101,-0.886150727,0.433502591,2.175633184,0.158133664,-0.623937119,-0.63887085,0.99498288,0.337846157,0.697673237,-0.636279679,1.228195136,-0.841726231,0.085997874,0.35758679,0.455600007,-0.574433914,1.20786353,0.627051974,-1.981611779,-1.429957212,2.539673134,0.087358295,0.348910613,-0.108991084,0.051636786,-0.1542323,0.657061397,0.181297073,-0.058753911,-0.154794044,0.277099231,-1.014648631,-0.045456012,0.493015087,-1.193457459,0.305884231,0.287939776,-0.957662437,0.127137003,-0.29666206,-1.352007737,0.260356193,0.478566227,-0.146811368,-0.475336966,-0.087139339,0.960471347,-0.071962297,1.080231318,-0.003526734,0.326866669,0.403275057,-0.047078082,0.139282995,0.295081355,0.757941997,0.045951658,0.043443227,0.650756375,0.465199346,-0.194238499,13.34,1,5.547883606,256.6937156
Springfieldcity,MA,13,67000,8,0.507125441,0.022808246,0.699624451,-0.909413676,0.37672544,0.049347145,0.634384084,-0.614257064,-0.963987063,-0.795388101,-0.886150727,0.433502591,2.175633184,0.158133664,-0.623937119,-0.63887085,0.99498288,0.337846157,0.697673237,-0.636279679,1.228195136,-0.841726231,0.085997874,0.35758679,0.455600007,-0.574433914,1.20786353,0.627051974,-1.981611779,-1.429957212,2.539673134,0.087358295,0.348910613,-0.108991084,0.051636786,-0.1542323,0.657061397,0.181297073,-0.058753911,-0.154794044,0.277099231,-1.014648631,-0.045456012,0.493015087,-1.193457459,0.305884231,0.287939776,-0.957662437,0.127137003,-0.29666206,-1.352007737,0.260356193,0.478566227,-0.146811368,-0.475336966,-0.087139339,0.960471347,-0.071962297,1.080231318,-0.003526734,0.326866669,0.403275057,-0.047078082,0.139282995,0.295081355,0.757941997,0.045951658,0.043443227,0.650756375,0.465199346,-0.194238499,13.34,1,5.547883606,256.6937156
Springfieldcity,MA,13,67000,8,0.507125441,0.022808246,0.699624451,-0.909413676,0.37672544,0.049347145,0.634384084,-0.614257064,-0.963987063,-0.795388101,-0.886150727,0.433502591,2.175633184,0.158133664,-0.623937119,-0.63887085,0.99498288,0.337846157,0.697673237,-0.636279679,1.228195136,-0.841726231,0.085997874,0.35758679,0.455600007,-0.574433914,1.20786353,0.627051974,-1.981611779,-1.429957212,2.539673134,0.087358295,0.348910613,-0.108991084,0.051636786,-0.1542323,0.657061397,0.181297073,-0.058753911,-0.154794044,0.277099231,-1.014648631,-0.045456012,0.493015087,-1.193457459,0.305884231,0.287939776,-0.957662437,0.127137003,-0.29666206,-1.352007737,0.260356193,0.478566227,-0.146811368,-0.475336966,-0.087139339,0.960471347,-0.071962297,1.080231318,-0.003526734,0.326866669,0.403275057,-0.047078082,0.139282995,0.295081355,0.757941997,0.045951658,0.043443227,0.650756375,0.465199346,-0.194238499,13.34,1,5.547883606,256.6937156
Anaheimcity,CA,NA,NA,9,1.038137805,0.943976848,-0.489870176,-0.733498199,1.723286717,-0.918964799,0.634384084,0.420271817,1.038472416,-0.316488867,-0.617449162,-1.035064974,-0.042385775,-0.721394409,0.235510399,0.02296993,-0.122068608,0.372677515,0.174121808,-0.340543965,-0.167347221,0.965150624,0.802637076,-1.267836717,0.440000188,-0.457396609,0.597434846,0.507696509,-0.016511434,-0.09455635,0.221037997,1.186618607,1.053701262,1.569678211,3.371754855,3.15952977,2.552761529,1.439475082,1.129103166,0.780993976,1.54906495,-1.167138001,1.919751329,0.790458581,-1.193457459,0.648815395,0.248213175,-0.967693171,-0.573800008,-1.543468494,0.460452593,-0.442901706,-0.076411573,1.184492272,0.841956638,1.300682258,-0.022523818,1.180516693,1.011562681,0.978935726,-1.243428664,0.48604348,2.342174382,-1.141041674,-0.984870093,-0.221058027,-0.342297346,0.150742579,1.020108558,0.15933699,-0.3441521,11.64,1,5.99654389,402.0369058
Laurelcity,MS,NA,NA,2,-0.163323589,-0.351416499,2.772825501,-1.944138741,-0.64569636,0.908466466,-1.57550333,-1.255762763,-1.861333641,-0.258440475,-1.211092153,1.723951813,1.850175125,0.241066832,-1.318742728,-0.698662328,2.182808485,0.742760685,1.277190509,-0.389966106,1.113745895,-1.876697389,0.193493754,0.652025799,0.50863939,-0.234059367,-0.122398572,0.749722869,-1.85842928,-0.936041825,2.239230271,-0.109224503,1.227061188,-0.034355917,-0.631564405,-0.674741981,-0.507279867,0.469815434,-0.241501154,-0.76789654,0.526504274,-0.400455335,0.082526642,-0.412771174,0.726979163,-0.104186058,-1.130867378,-0.135142189,0.523948451,1.484388091,-0.536400588,2.007625817,1.681018128,-0.888907302,-0.550183193,-1.514939337,-0.628323163,-1.451420724,0.359210625,-0.376184908,0.531687799,-0.096882695,-0.831016093,1.350924498,0.155348664,1.024606472,0.846465069,-0.104732069,-0.551123847,-0.622536317,-0.3441521,15.34,2,6.645820096,769.5609027
Lancastercity,OH,45,41720,2,-0.08723105,-0.696854725,-0.635244896,0.934644748,-0.624518463,0.416069541,-1.57550333,-0.853256647,-0.890057942,-0.360025161,-0.534651587,0.531649433,0.436884653,1.164243942,-0.859099946,-0.682919359,0.287241705,0.018558716,0.408817276,-0.910492848,0.626413643,-0.544079394,0.865651903,-0.594833269,0.962594116,-0.833204468,-0.926772012,0.855816616,-0.260936551,-0.147911407,-0.317799746,-0.10620964,-1.412550058,-1.444338611,-0.703480319,-0.690447015,-0.509523299,-0.467125636,-0.546079891,-0.735627988,-0.146889342,-0.271968922,-0.490027339,0.129709104,0.726979163,-0.16156561,0.391985633,-0.203207889,-0.428978312,0.639156041,-0.808269638,0.395691046,-0.423272698,-0.779533417,-0.75975263,-0.880996138,-0.85692669,-0.839610711,-0.636484618,-1.155379272,-0.424144142,-0.089788259,-0.796981158,1.415498415,0.169321933,0.709960846,0.697035899,-0.102177323,-0.229515451,-0.602280532,-0.3441521,0,2,5.570144568,262.4720416
UniversalCitycity,TX,NA,NA,2,-0.191324479,-0.121124348,-0.255695135,0.147300823,0.400844711,-0.857157653,0.634384084,0.123559688,1.140443618,0.351067641,0.444859348,-1.02415977,-1.130218189,3.091348878,0.059836505,-0.036980569,-0.440552137,-1.013320242,-1.200652032,0.466950046,-0.289180284,0.737901587,-1.396703925,-0.280865142,-0.736226147,0.299587793,-0.949150252,0.023643789,0.433541162,0.42222549,-0.693353325,-0.099220638,0.019733136,-0.746499801,-0.277977823,-0.441410055,-0.325561866,-0.25891651,0.154451205,0.03881727,0.451682761,-0.481641806,-0.028616189,-0.664181746,0.726979163,-0.201950045,-0.476324345,-0.402389621,-0.747586044,-1.49425245,0.913567675,-0.348650647,-1.001374573,-0.463172393,-0.502780583,-0.338432139,-0.651183516,-0.366323719,-1.220168037,-0.44394094,-1.448249794,-0.102794725,-0.301205599,-1.421057661,-0.905688235,-1.015515163,-1.668481229,-0.190741868,-0.18170375,-0.600254953,-0.3441521,0,2,5.107397064,165.2396863
