communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctOther,agePct65up,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctNevMarr,TotalPctDiv,PctFam2Par,PctWorkMom,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec10,PctRecentImmig,PctRecImmig10,PctNotSpeakEnglWell,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumHomeless,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,raw_y.murdPerPop.na_col.,group,y,y1
Pittsfieldtownship,MI,161,64560,1,-0.168948031,-0.552922131,0.515578624,-0.322417934,-0.317438958,-1.499951965,0.634384084,0.051252313,1.535582026,-0.577706631,-0.041771683,-1.995934677,-0.697760221,-1.904283283,0.407553512,0.212203598,-0.276592098,-0.862384361,-0.951513765,1.233790361,-0.824507379,1.168933728,0.208320772,1.589423459,-1.063822341,1.054424721,1.483861836,0.146314684,0.038775199,0.737782543,0.78926689,-0.085859312,1.035126984,0.892986031,0.465153297,0.206983471,-0.374917373,-0.556358119,-0.881116503,0.684188318,-1.144509514,-1.083833623,-0.313209198,1.489450793,-1.193457459,-0.161397341,-0.495241773,-1.646200728,-0.764964647,-0.608363669,1.094813708,-0.500902357,-1.001374573,0.009605049,-0.138528942,0.558226259,-0.891217219,0.447499035,-0.636484618,0.165863346,0.66823522,-0.102794725,0.048219737,0.03831287,-1.986287711,-1.499940246,-0.765235264,0.007676776,-0.74600407,-0.120192845,-0.3441521,0,1,2.81055384,16.61912
Richfieldcity,MN,53,54214,1,-0.081393083,-1.186225545,-0.484857255,0.613354674,-0.450389088,0.776611223,0.634384084,-0.114254528,0.21760424,-0.592218729,0.821353981,0.406845424,-0.526114533,0.751760553,0.015149982,0.062088822,-0.722469038,-0.739023304,-0.969567263,-0.169160734,-0.887269866,0.857701351,-0.18088845,-0.366492813,-0.230792019,-0.326400727,0.060357063,-0.118919683,-0.052399249,1.865860897,-0.386379095,-0.086613027,-0.495187119,1.042878325,-0.493725568,-0.248462501,-0.419786015,-0.669385931,-1.002947998,-0.671090883,-1.493676574,0.599903171,-0.464767604,0.364122906,-1.193457459,-0.20026736,0.74574155,0.29976181,-0.750482478,-1.210368606,-0.627023605,-0.860989735,-1.001374573,-0.390256469,-0.961837445,0.02708466,-0.85692669,-0.291290415,0.22187335,-0.342306892,-1.106881244,-0.102794725,-0.436210843,0.548446817,0.701237709,0.700733702,0.482231467,-0.1796713,0.749096351,0.600913107,-0.3441521,0,1,2.633455569,13.9217946
Monroecity,MI,115,55020,1,-0.143548264,0.022808246,-0.340914798,0.599305869,-0.522746903,0.201804771,-1.57550333,-0.359995884,-0.650425617,-0.476121945,-0.119101494,0.322027165,1.500196254,0.345824519,-0.306942096,-0.390481782,0.438226489,0.497489878,0.67239834,-0.701644446,0.50458058,-0.976346585,0.937315823,-0.189228512,1.112352376,-0.636710644,-0.246722133,0.136368395,-0.446195271,-1.211963692,0.413713311,-0.101207707,1.250794987,0.142902604,-0.331914759,-0.506473765,-0.39286483,-0.154811946,0.002161836,0.071085823,0.027694188,-0.135010877,-0.387304419,-0.202436131,0.726979163,-0.222647068,0.505490206,-0.168100317,0.185065681,0.042144036,-1.442630753,-0.080397634,-0.770133823,-0.621940936,-0.585111433,-0.492634539,-0.38828946,-0.551021082,0.839891087,-1.934573637,0.87305635,-0.086241041,-0.608654516,0.605976307,0.669564966,0.973857177,0.655676039,-0.160936492,-0.117185119,-0.521257391,-0.3441521,0,1,2.827724299,16.90694187
AnnArborcity,MI,161,3000,1,0.277144477,-0.236270423,-0.024384621,-0.089696417,-0.074481419,-1.172374095,0.634384084,-0.044688313,1.074162337,-0.113319495,1.314233886,-1.480966677,-0.793614307,-1.312838846,0.728388783,0.347370504,0.519616724,-1.046700293,-1.496729392,3.283214945,-0.813431646,0.343920919,-0.893820898,4.296459651,-1.430418082,2.079843307,2.92974485,-0.921253643,0.178446695,0.621925847,-0.174109682,0.093919049,1.866841865,1.331467636,1.370095225,0.680378052,-0.267232632,-0.425483811,-0.911574376,-0.477479568,-0.645699428,-1.234205085,-0.203750348,0.859153864,-1.193457459,0.10429859,0.371176462,-1.399731246,-0.484010556,-0.548448485,0.00733751,-0.812655859,-0.654513448,-0.01862047,0.42032289,0.546803859,0.331811649,0.349378561,1.251902912,-0.308428876,-0.082775592,0.132504076,0.353399658,-0.519370961,-1.711480086,-1.992669759,-1.604440157,-0.011909614,0.435162276,0.532043437,1.659238744,1.83,1,3.114210117,22.51563861
Duluthcity,MN,137,17000,1,0.160195875,-0.696854725,-0.609464157,0.759950905,-0.590398518,0.591189787,0.634384084,-0.783616347,-0.961437783,-0.664779219,0.132415668,0.686745678,0.655342802,0.437487494,-0.581554745,-0.495752949,0.577415587,-0.428443702,-0.368385794,-0.041619726,0.445510004,-0.839256133,-1.160707222,1.416665877,-0.411749917,0.029006134,0.581272783,-0.022772225,-0.447165212,0.187463238,-0.089201916,-0.075358679,-0.511697588,-0.699230862,-0.577627469,-0.58051178,-0.469141521,-0.574204616,-0.789742881,-0.509748121,-1.11956901,0.361991515,-0.513603091,0.297552219,-1.193457459,-0.046133432,0.617103035,0.12279099,-0.127749183,0.083514043,-2.167614885,-0.392151136,-0.330776398,-0.843040834,-0.692391026,-0.835306538,-0.17111611,-1.12820034,1.045896999,-1.968451653,-0.424144142,0.257839115,-0.609789013,0.93589032,0.299739111,0.43037837,0.64099996,0.35597388,-0.537507021,0.562427115,1.56383918,7.08,1,3.439038804,31.15699579
Geneseetownship,MI,49,31800,1,-0.137768531,0.080381284,-0.087404204,0.399568504,-0.540983425,-0.517218354,0.634384084,-0.280576308,-0.468152094,-0.534170337,-0.753362163,-0.023304317,1.127925736,1.74477612,-0.324467592,-0.488279014,0.247136372,-0.15559807,0.445826946,-1.389568761,1.973961157,-1.101086545,1.813345469,-0.838196123,1.792504474,-1.318533474,-0.604773989,0.673467988,-0.697409974,-1.070191683,0.20470958,-0.104548039,-1.240222037,-1.147041863,-0.691494334,-0.654549795,-0.511766731,-0.178607275,0.367656322,0.03881727,0.676147299,1.354584358,-0.318261144,-0.311498746,0.726979163,-0.217935551,0.484681034,1.545722359,0.981585012,1.312488577,-0.083285506,-0.065897472,-0.793257898,-0.819519568,-0.767237253,-0.766772138,-1.256982861,-0.649141555,3.002953166,-1.900695621,0.80478264,-0.102794725,-0.714162815,1.286350581,1.194959884,1.514567841,1.337446628,0.019598926,-0.683319126,-0.519231813,-0.3441521,8.08,1,3.231918267,25.32819664
Midlandcity,MI,111,53780,2,-0.071158443,-0.408989536,-0.548592969,0.739793924,-0.467449061,-0.296772869,-1.57550333,0.380784285,0.188287519,-0.490634043,1.2900195,-0.350460457,-0.256385594,0.278168513,0.672181515,0.595600551,-0.284849078,-0.725961545,-1.005674258,1.528728944,-0.38516997,-0.027828864,2.583114819,0.16680233,-1.041982595,1.635316297,-0.287748908,-0.775374742,0.793389251,-0.716523875,-0.686821958,-0.081919433,1.252858796,0.432113876,-0.014286136,-0.288846872,-0.493819275,-0.547434871,-0.393790522,-0.090256939,-0.994866488,0.679677702,-0.56412256,-0.676929325,0.726979163,-0.185796271,0.607644321,0.448789868,-0.481114122,-0.773843699,0.097960527,-0.570986478,-0.816381973,-0.514919177,0.031122507,-0.361276939,-0.399719636,-0.493303156,-0.396144387,-1.528037447,-1.243428664,-0.082693823,-0.379485951,0.392295344,-0.183735999,-0.434205064,-0.271585328,1.25E-05,-0.496384883,-0.56379454,-0.3441521,0,1,2.206168917,9.080860138
TraverseCitycity,MI,55,80340,2,-0.18133248,-0.754427762,-0.655296581,0.893719966,-0.603928841,0.502599545,-1.57550333,-0.487052389,-0.610911777,-1.288799432,0.508129193,0.498933819,-0.457010425,0.149403857,-0.373343477,-0.153542147,-0.350904921,-0.453115913,-0.607594637,0.452601683,-0.673139028,-0.009303128,-0.797445281,0.788729624,-0.553708267,0.377970575,0.378625379,0.520958227,0.00870703,0.894798854,-0.552928943,-0.105130456,-1.126712562,-1.744745158,-0.667522362,-0.674741981,-0.522983892,-0.470100052,-0.911574376,-0.76789654,-0.895104471,0.06195456,-0.574226454,-0.057963577,0.726979163,-0.232238372,0.361717748,-0.074957781,0.101069097,0.250420625,-1.26138472,-0.831989409,0.316697702,-0.626645189,-0.542698571,-0.252764139,-0.273987697,-0.395182682,0.256207669,-0.139038797,0.531687799,-0.018843897,-0.639285957,1.111413968,-0.171625833,-0.256121176,0.630326448,-0.170303896,-0.327549813,-0.4544133,-0.3441521,0,1,2.447523746,11.55968653
Emmetttownship,MI,25,25950,2,-0.202452042,-0.265056942,-0.585831814,0.814924492,-0.553337198,-0.189640483,0.634384084,-0.277612891,0.025133596,-0.156855789,0.039463674,0.335355749,0.786863524,0.585894216,-0.351698442,-0.346274253,0.031275313,-0.181721588,0.145236211,-0.968683433,0.79993346,-0.468741398,1.28698633,-0.746559493,0.897074878,-0.759116633,-0.850934639,0.706622284,0.300659253,0.292648922,-0.503943694,-0.106586498,1.381846835,-0.519484502,-0.343900745,-0.576024628,-0.52074046,-0.479023301,-0.119669659,-0.283868254,-0.296532368,1.307284415,-0.432771941,-0.214475511,0.726979163,-0.259497865,0.54143332,1.373050426,-0.197263597,-0.369416211,-0.355154556,-0.201232325,0.409194002,-0.799526492,-0.455377972,-0.681104138,-0.719764574,-0.574108252,0.015867438,-2.0700857,0.66823522,-0.102794725,-0.630209975,0.977569849,0.905247438,0.900962736,0.673020497,0.044294809,-0.842578273,-0.622536317,-0.3441521,9.04,1,3.02688759,20.63291446
Kalamazoocity,MI,77,42160,2,0.134883459,0.051594765,0.670979186,-0.376780703,-0.410974669,-0.556362879,0.634384084,-0.795692271,-0.335589531,-0.389049357,-0.243297856,-0.341978632,1.473446277,-0.509696585,-0.69061779,-0.579715451,1.716878878,-0.373294053,-0.203196291,0.538691864,1.165432649,-0.662644109,-0.022733592,1.407652438,-0.107553451,0.055849553,2.293208217,0.394971903,-1.644072332,-0.275963545,1.938787408,-0.045723942,1.463367276,1.055939479,0.087594744,-0.1542323,-0.395108262,-0.178607275,-0.637453512,-0.509748121,-0.346413377,-1.047829189,-0.193646454,0.711848515,-1.193457459,0.058193027,0.134708603,-1.101675128,0.868624089,-0.061994259,-0.898892654,0.610776795,-0.423272698,-0.815991378,-0.455377972,-0.435522539,-0.319708402,-0.602967215,1.28623723,-1.189257288,0.94133006,0.124227233,-0.347720011,0.50383211,-1.267130129,-0.908480288,0.198049206,-0.022980182,0.118885156,-0.118167267,2.493984929,9.74,1,4.222041023,68.172484
